date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:02	31845/31845	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7c65%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/js-grid.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/js-grid.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:03	35856/35856	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-8c10%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/sortable-table.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/sortable-table.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:03	33980/33980	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-84bc%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/popups.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/popups.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:03	38101/38101	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-94d5%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/notifications.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/notifications.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:04	58595/58595	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-e4e3%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/flag-icons.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/flag-icons.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:04	288539/288539	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-4671b%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/mdi.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/mdi.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:04	136269/136269	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-2144d%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/font-awesome.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/font-awesome.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:05	63514/63514	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-f81a%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/simple-line-icon.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/simple-line-icon.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:05	64539/64539	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-fc1b%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/themify.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/themify.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:05	79159/79159	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-13537%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/typicons.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/icons/typicons.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
